razotajs,modelis,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Land Rover,Range Rover,Land Rover Range Rover,2013,Dīzelis,4.4,235,42000,"Range Rover Autobiography 4.4l dīzelis, (340 Hp).     - Side assist;  - ",https://i.ss.lv/gallery/4/775/193682/38736389.th2.jpg,/msg/lv/transport/cars/land-rover/range-rover/bmbbo.html
Opel,Astra,Opel Astra,1999,Benzīns,1.6,253,800,"Opel Astra, jaunas visas bremzes, amortizatoru atbalsti un amortizatori,",https://i.ss.lv/gallery/4/772/192812/38562384.th2.jpg,/msg/lv/transport/cars/opel/astra/bjxng.html
Bmw,320,Bmw 320,2009,Dīzelis,2.0,310,8250,"Bmw 320d Lci, M pack, jaunas ziemas riepas, tikko veikta apkope (eļļa, f",https://i.ss.lv/gallery/4/733/183031/36606104.th2.jpg,/msg/lv/transport/cars/bmw/320/cxbfl.html
Nissan,Qashqai,Nissan Qashqai,2018,Dīzelis,1.5,80,14250,"Nissan Qashqai 2018 81kw Jauna TA    Viens īpašnieks, pirkts jauns Nissa",https://i.ss.lv/gallery/4/756/188860/37771986.th2.jpg,/msg/lv/transport/cars/nissan/qashqai/bmomce.html
Bmw,320,Bmw 320,2003,Dīzelis,2.0,260,2290,"2.0D 110 KW, Automats, Melns adas Salons Ar Apsildāmiem Krēsliem, Melnie",https://i.ss.lv/gallery/4/777/194020/38803820.th2.jpg,/msg/lv/transport/cars/bmw/320/hedjo.html
Lexus,IS,Lexus IS,2000,Benzīns,3.0,220,5500,Продается Lexus Is200 2000 года выпуска. Произведена замена двигателя на,https://i.ss.lv/gallery/4/765/191225/38244952.th2.jpg,/msg/lv/transport/cars/lexus/is/eegnd.html
Toyota,RAV 4,Toyota RAV 4,2017,Hibrīds,2.5,193,18000,Rav4 Executive Hybrid vispilnākā aprikojuma. Individuālais pasūtījums.  ,https://i.ss.lv/gallery/4/777/194018/38803442.th2.jpg,/msg/lv/transport/cars/toyota/rav-4/bxdmed.html
Opel,Astra,Opel Astra,1998,Benzīns,1.6,300,620,"Opel Astra 1.6i, Vienkarsi spainis ar Ta, Par šo gadu nodoklis nomaksats",https://i.ss.lv/gallery/4/777/194019/38803777.th2.jpg,/msg/lv/transport/cars/opel/astra/dedhf.html
Mercedes,GLE 350,Mercedes GLE 350,2016,Dīzelis,3.0,173,39800,"Отличное состояние, ТО без замечаний.   Звонить по рабочим дням 8-17. В ",https://i.ss.lv/gallery/4/777/194019/38803752.th2.jpg,/msg/lv/transport/cars/mercedes/gle-350/bolpfl.html
Volkswagen,Lupo,Volkswagen Lupo,1999,Dīzelis,1.7,295,800,"Ideāls pārvietošanās līdzeklis,   Labā stāvoklī",https://i.ss.lv/gallery/4/777/194019/38803607.th2.jpg,/msg/lv/transport/cars/volkswagen/lupo/mdfbp.html
Bmw,320,Bmw 320,2006,Benzīns,2.0,212,6600,Pārdod koptu un labi uzturētu auto ar salīdzinoši mazu un pārbaudāmu nob,https://i.ss.lv/gallery/4/777/194019/38803671.th2.jpg,/msg/lv/transport/cars/bmw/320/eliem.html
Volkswagen,Caravelle,Volkswagen Caravelle,2010,Dīzelis,2.0,292,9500,"Pārdod VW Caravelle. 2, 0 Tdi Auto labā stāvoklī.   Caravelles komplektā",https://i.ss.lv/gallery/4/721/180012/36002396.th2.jpg,/msg/lv/transport/cars/volkswagen/caravelle/eopjl.html
Toyota,Aygo,Toyota Aygo,2008,Benzīns,1.0,186,2600,"Toyota Aygo 1.0 i benzīns, mehānika, atvesta no Vācijas, kondicionieris,",https://i.ss.lv/gallery/4/777/194019/38803642.th2.jpg,/msg/lv/transport/cars/toyota/aygo/plibj.html
Volvo,XC 70,Volvo XC 70,2007,Dīzelis,2.4,336,5450,2.4D D5 136kw awd 4x4 Summum. Jauna TA. Auto teicama tehniska un vizuala,https://i.ss.lv/gallery/4/736/183853/36770475.th2.jpg,/msg/lv/transport/cars/volvo/xc70/bdcppg.html
Volkswagen,Touran,Volkswagen Touran,2004,Dīzelis,1.9,194,3450,"Продаётся VW Touran 1.9 Tdi, Dsg6 (77 Kw/105 лс) - самый надёжный двигат",https://i.ss.lv/gallery/4/766/191361/38272176.th2.jpg,/msg/lv/transport/cars/volkswagen/touran/bdljbk.html
Audi,A6,Audi A6,2014,Dīzelis,2.0,265,13950,Audi A6  Ultra  2.0Tdi/140Kw/  Nobraukums:264489  Pirma reģistrācija:07.,https://i.ss.lv/gallery/4/768/191773/38354514.th2.jpg,/msg/lv/transport/cars/audi/a6/bgkon.html
Seat,Leon,Seat Leon,2002,Benzīns,1.6,136,1650,Pārdošanā auto labā vizuālā un tehniskā kārtībā ar patiesu mazu nobrauku,https://i.ss.lv/gallery/4/772/192776/38555079.th2.jpg,/msg/lv/transport/cars/seat/leon/fhked.html
Volvo,V60,Volvo V60,2012,Dīzelis,2.0,177,7500,Pilna komplektacija. Mazs nobraukums. No Vacijas. Adas salons. Xenon. El,https://i.ss.lv/gallery/4/766/191287/38257393.th2.jpg,/msg/lv/transport/cars/volvo/v60/bphmkf.html
Volkswagen,Crafter,Volkswagen Crafter,2009,Dīzelis,2.5,350,4300,"Pārdodu 2 labus VW Crafter Maxi busus, kravas nodalījums 4, 20m, kabīnē ",https://i.ss.lv/gallery/4/769/192024/38404709.th2.jpg,/msg/lv/transport/cars/volkswagen/crafter/bcefej.html
Volkswagen,Transporter,Volkswagen Transporter,2004,Dīzelis,1.9,302,3600,Отличное техническое состояние. Только что пройден тех. осмотр. Заплачен,https://i.ss.lv/gallery/4/777/194018/38803571.th2.jpg,/msg/lv/transport/cars/volkswagen/transporter/hfkcp.html
Volvo,XC 90,Volvo XC 90,2007,Dīzelis,2.4,244,7550,"В идеальном состоянии , только с Германии, 136кв , полностью в родной кр",https://i.ss.lv/gallery/4/777/194018/38803480.th2.jpg,/msg/lv/transport/cars/volvo/xc90/bfmien.html
Volkswagen,Sharan,Volkswagen Sharan,2003,Benzīns,2.0,343,1550,"Automašīna Labā stāvoklī. Tiko izieta jauna tehniskā apskate , 2.0 benzī",https://i.ss.lv/gallery/4/765/191035/38206900.th2.jpg,/msg/lv/transport/cars/volkswagen/sharan/cgoff.html
Renault,Espace,Renault Espace,2003,Dīzelis,2.2,309,1550,Renault Espace 2.2 Diesel. Автомат. Автомобиль в хорошем состоянии. Двиг,https://i.ss.lv/gallery/4/775/193723/38744490.th2.jpg,/msg/lv/transport/cars/renault/espace/kxill.html
Audi,A8,Audi A8,2005,Benzīns,3.2,156,5600,"Audi A8. 3.2 Quattro. Автомобиль куплен новым в Латвии, два владельца. О",https://i.ss.lv/gallery/4/777/194016/38803165.th2.jpg,/msg/lv/transport/cars/audi/a8/dienl.html
